Case,Timestamp,Activity,Activity_fixed,label
1117,2023-12-04 09:02:02.151,Make decisio,Make decisio,distorted label(Skip)
1119,2023-12-04 10:11:34.508,Request inf,request info,distorted label(Skip)
1123,2023-12-04 14:30:25.125,Time out,Time out,distorted label(UpLow)
1131,2023-12-04 20:15:11.440,Dieliver card,Dieliver card,distorted label(Insert)
114,2023-10-05 03:11:27.154,Perform check,perform checks,distorted label(Skip)
114,2023-10-05 03:51:09.279,EVENT 13 EDN,EVENT 13 EDN,distorted label(Interchange)
1153,2023-12-05 20:26:18.081,New online applicztion received,new online application received,distorted label(Proximity)
1153,2023-12-05 21:28:27.748,Info received,Info received,distorted label(UpLow)
1153,2023-12-05 21:36:15.454,Requwst info,Requwst info,distorted label(Proximity)
1156,2023-12-05 21:06:14.448,check for completeness,check for completeness,distorted label(UpLow)
1156,2023-12-05 21:15:35.441,Make decisin,Make decisio,distorted label(Skip)
116,2023-10-05 08:06:21.864,WVENT 13 END,eVENT 13 END,distorted label(Proximity)
1167,2023-12-06 07:06:26.632,Check for completreness,Check for completreness,distorted label(Insert)
1167,2023-12-06 08:08:44.327,Make Wdecision,Make Wdecision,distorted label(Insert)
1168,2023-12-06 11:06:57.751,Check for copleteness,Check for copleteness,distorted label(Skip)
1170,2023-12-06 13:17:39.478,Notnify accept,Notnify accept,distorted label(Insert)
118,2023-10-05 10:43:07.795,make decision,Make decisio,distorted label(UpLow)
1190,2023-12-07 14:00:39.327,Request ifo,Request ifo,distorted label(Skip)
1203,2023-12-08 04:10:50.406,Lerform checks,perform checks,distorted label(Proximity)
1203,2023-12-08 05:05:17.962,request info,request info,distorted label(UpLow)
1207,2023-12-08 09:35:33.964,Check foKr completeness,Check foKr completeness,distorted label(Insert)
121,2023-10-05 13:22:21.126,EVDNT 13 END,EVDNT 13 END,distorted label(Proximity)
1221,2023-12-11 02:15:41.002,check for completeness,check for completeness,distorted label(UpLow)
1225,2023-12-11 01:10:00.002,info erceived,info erceived,distorted label(Interchange)
1227,2023-12-11 04:46:09.410,Requesti nfo,Requesti nfo,distorted label(Interchange)
123,2023-10-05 14:28:44.759,Notify accpt,Notify accpt,distorted label(Skip)
1233,2023-12-11 13:31:59.773,Dellver card,Dellver card,distorted label(Proximity)
1237,2023-12-11 14:14:37.140,EVENT1 3 END,EVENT1 3 END,distorted label(Interchange)
1239,2023-12-11 13:21:33.179,Check for compelteness,Check for compelteness,distorted label(Interchange)
1239,2023-12-11 13:21:33.179,New online applciation received,new online application received,distorted label(Interchange)
1250,2023-12-12 04:49:45.062,new online application received,new online application received,distorted label(UpLow)
126,2023-10-05 19:25:28.888,EVENT 13 EXND,EVENT 13 EXND,distorted label(Insert)
1260,2023-12-12 15:04:55.760,Perfomr checks,Perfomr checks,distorted label(Interchange)
1273,2023-12-13 05:48:59.150,botify reject,botify reject,distorted label(Proximity)
1274,2023-12-13 07:01:55.154,tims out,tims out,distorted label(Proximity)
1276,2023-12-13 07:07:51.879,Performc hecks,Performc hecks,distorted label(Interchange)
1279,2023-12-13 11:54:33.418,EVET 13 END,EVET 13 END,distorted label(Skip)
1286,2023-12-13 16:32:35.077,Notifay accept,Notifay accept,distorted label(Insert)
1286,2023-12-13 16:49:48.668,Deliver cad,Deliver cad,distorted label(Skip)
13,2023-09-29 18:38:09.483,Check forcompleteness,Check forcompleteness,distorted label(Skip)
13,2023-09-29 21:03:16.372,Check for completenes,check for completeness,distorted label(Skip)
13,2023-09-29 21:20:39.128,Perfor mchecks,Perfor mchecks,distorted label(Interchange)
1302,2023-12-14 10:14:55.369,Jew online application received,new online application received,distorted label(Proximity)
1303,2023-12-14 11:48:05.800,rview request received,rview request received,distorted label(Skip)
1303,2023-12-14 13:22:15.012,EVET 13 END,EVET 13 END,distorted label(Skip)
1305,2023-12-14 12:16:28.725,Check Dfor completeness,Check Dfor completeness,distorted label(Insert)
1305,2023-12-14 12:29:55.118,notify accept,notify accept,distorted label(UpLow)
1305,2023-12-14 12:37:06.265,Deliver cwrd,Deliver cwrd,distorted label(Proximity)
1315,2023-12-14 18:47:26.991,review request rsceived,review request rsceived,distorted label(Proximity)
1315,2023-12-14 18:57:30.468,PerfoWrm checks,PerfoWrm checks,distorted label(Insert)
1319,2023-12-14 22:12:00.472,EVENT 13I END,EVENT 13I END,distorted label(Insert)
1325,2023-12-15 02:10:14.981,Make decisuon,Make decisuon,distorted label(Proximity)
1332,2023-12-15 07:13:56.668,EVEWNT 13 END,EVEWNT 13 END,distorted label(Insert)
1334,2023-12-15 09:07:30.667,ihfo received,ihfo received,distorted label(Proximity)
1337,2023-12-15 12:04:34.602,otify accept,notify accept,distorted label(Skip)
1341,2023-12-15 11:29:35.148,Make decisiin,Make decisiin,distorted label(Proximity)
1346,2023-12-15 14:08:08.878,Chevk for completeness,Chevk for completeness,distorted label(Proximity)
1350,2023-12-15 15:57:51.370,Check ofr completeness,Check ofr completeness,distorted label(Interchange)
1351,2023-12-15 15:35:57.337,Check for completeess,Check for completeess,distorted label(Skip)
1351,2023-12-15 17:41:59.856,Deliver ard,Deliver ard,distorted label(Skip)
1368,2023-12-18 08:40:01.040,make decision,Make decisio,distorted label(UpLow)
1376,2023-12-19 00:17:13.809,Uinfo received,Info received,distorted label(Insert)
1376,2023-12-19 00:17:23.809,check for completeness,check for completeness,distorted label(UpLow)
1376,2023-12-19 00:35:11.198,Make ecision,Make ecision,distorted label(Skip)
1376,2023-12-19 01:08:43.156,VENT 13 END,eVENT 13 END,distorted label(Skip)
1378,2023-12-19 01:33:08.997,make decision,Make decisio,distorted label(UpLow)
1378,2023-12-19 04:00:19.526,"Perfor, checks","Perfor, checks",distorted label(Proximity)
1410,2023-12-20 03:35:47.077,request info,request info,distorted label(UpLow)
1415,2023-12-20 07:38:15.415,Chcek for completeness,Chcek for completeness,distorted label(Interchange)
1415,2023-12-20 08:56:33.378,info Ureceived,info Ureceived,distorted label(Insert)
1415,2023-12-20 08:56:43.378,Check for completveness,Check for completveness,distorted label(Insert)
1417,2023-12-20 11:03:40.753,Deliver acrd,Deliver acrd,distorted label(Interchange)
1419,2023-12-20 17:21:51.829,New online application recived,new online application received,distorted label(Skip)
1420,2023-12-20 18:13:13.365,new online application received,new online application received,distorted label(UpLow)
1421,2023-12-20 18:31:27.892,Check for copmleteness,Check for copmleteness,distorted label(Interchange)
1421,2023-12-20 20:08:44.754,perform checks,perform checks,distorted label(UpLow)
1434,2023-12-21 09:07:35.276,check for completeness,check for completeness,distorted label(UpLow)
1434,2023-12-21 09:35:40.012,Make eecision,Make eecision,distorted label(Proximity)
1439,2023-12-21 12:45:42.993,Xheck for completeness,check for completeness,distorted label(Proximity)
1439,2023-12-21 12:45:42.993,New online ap;lication received,new online application received,distorted label(Proximity)
1440,2023-12-21 13:26:20.987,New onilne application received,New onilne application received,distorted label(Interchange)
1445,2023-12-22 01:11:42.463,Check for completeneKss,check for completeness,distorted label(Insert)
1445,2023-12-22 03:18:34.969,review rmequest received,rview request received,distorted label(Insert)
1449,2023-12-22 03:05:37.903,Revquest info,Revquest info,distorted label(Insert)
1449,2023-12-22 03:07:23.577,info rwceived,info rwceived,distorted label(Proximity)
1453,2023-12-22 10:23:28.963,Perform checs,perform checks,distorted label(Skip)
1455,2023-12-22 12:43:14.398,Check for Pcompleteness,Check for Pcompleteness,distorted label(Insert)
1458,2023-12-22 14:35:06.976,request info,request info,distorted label(UpLow)
1458,2023-12-22 15:51:11.181,info eceived,info eceived,distorted label(Skip)
1458,2023-12-22 17:01:57.976,Check for completenesDs,check for completeness,distorted label(Insert)
1470,2023-12-22 20:12:38.266,Perform chceks,Perform chceks,distorted label(Interchange)
1470,2023-12-22 20:55:55.160,Perforh checks,Perforh checks,distorted label(Proximity)
1486,2023-12-25 10:14:13.734,Perform chrcks,Perform chrcks,distorted label(Proximity)
1493,2023-12-25 16:36:15.742,check for completeness,check for completeness,distorted label(UpLow)
1495,2023-12-25 17:56:57.327,Pefrorm checks,Pefrorm checks,distorted label(Interchange)
15,2023-09-29 17:39:33.547,EVENZT 13 END,EVENZT 13 END,distorted label(Insert)
1501,2023-12-26 06:22:10.203,info receVived,info receVived,distorted label(Insert)
1501,2023-12-26 07:27:36.448,Info received,Info received,distorted label(UpLow)
1501,2023-12-26 08:22:31.131,time ou,Time out,distorted label(Skip)
1503,2023-12-26 07:22:16.409,make decision,Make decisio,distorted label(UpLow)
156,2023-10-09 06:17:48.760,Reqkest info,Reqkest info,distorted label(Proximity)
156,2023-10-09 07:31:06.938,Delizver card,Delizver card,distorted label(Insert)
159,2023-10-09 12:29:37.058,EVENT 13 ND,EVENT 13 ND,distorted label(Skip)
160,2023-10-09 13:44:24.816,infor eceived,infor eceived,distorted label(Interchange)
167,2023-10-09 15:40:15.114,New online application rKeceived,new online application received,distorted label(Insert)
167,2023-10-09 16:07:42.424,Requset info,Requset info,distorted label(Interchange)
167,2023-10-09 16:08:32.067,Info received,Info received,distorted label(UpLow)
170,2023-10-09 16:18:43.760,Ndw online application received,new online application received,distorted label(Proximity)
171,2023-10-09 18:04:36.812,time ou,Time out,distorted label(Skip)
178,2023-10-10 01:08:06.130,Mwke decision,Mwke decision,distorted label(Proximity)
178,2023-10-10 01:30:12.610,Perform cheUcks,Perform cheUcks,distorted label(Insert)
184,2023-10-10 03:52:32.882,review request receiced,review request receiced,distorted label(Proximity)
186,2023-10-10 05:11:13.518,check for completeness,check for completeness,distorted label(UpLow)
186,2023-10-10 06:00:31.470,EEVNT 13 END,EEVNT 13 END,distorted label(Interchange)
20,2023-09-29 20:11:57.183,perform checks,perform checks,distorted label(UpLow)
212,2023-10-10 23:10:29.927,ChDeck for completeness,ChDeck for completeness,distorted label(Insert)
22,2023-09-29 21:09:37.104,New online applictaion received,New online applictaion received,distorted label(Interchange)
228,2023-10-11 13:29:37.116,New online applikcation received,new online application received,distorted label(Insert)
240,2023-10-12 04:09:43.028,Perofrm checks,Perofrm checks,distorted label(Interchange)
244,2023-10-12 08:05:58.176,Perform cmecks,Perform cmecks,distorted label(Proximity)
244,2023-10-12 08:23:24.981,Check for compelteness,Check for compelteness,distorted label(Interchange)
248,2023-10-12 09:58:18.385,Reuest info,Reuest info,distorted label(Skip)
248,2023-10-12 10:13:18.430,Reques info,Reques info,distorted label(Skip)
254,2023-10-12 17:29:18.025,Reques info,Reques info,distorted label(Skip)
254,2023-10-12 17:55:46.714,eVENT 13 END,eVENT 13 END,distorted label(UpLow)
26,2023-10-02 02:59:33.495,info recevied,info recevied,distorted label(Interchange)
26,2023-10-02 03:04:52.705,Check for clmpleteness,Check for clmpleteness,distorted label(Proximity)
26,2023-10-02 03:13:27.857,Request inf;,request info,distorted label(Proximity)
26,2023-10-02 04:18:16.134,Request binfo,Request binfo,distorted label(Insert)
270,2023-10-13 03:37:50.777,check for completeness,check for completeness,distorted label(UpLow)
273,2023-10-13 07:02:00.103,Requet info,Requet info,distorted label(Skip)
276,2023-10-13 10:16:19.061,Rqeuest info,Rqeuest info,distorted label(Interchange)
276,2023-10-13 10:51:21.278,notify accept,notify accept,distorted label(UpLow)
279,2023-10-13 13:13:59.795,Check for compnleteness,Check for compnleteness,distorted label(Insert)
280,2023-10-13 13:43:41.286,New online applicatin received,new online application received,distorted label(Skip)
29,2023-10-02 05:51:12.013,Notif yaccept,Notif yaccept,distorted label(Interchange)
297,2023-10-16 10:42:53.880,deliver card,deliver card,distorted label(UpLow)
298,2023-10-16 11:38:06.990,VENT 13 END,eVENT 13 END,distorted label(Skip)
303,2023-10-16 20:27:11.128,EENT 13 END,eVENT 13 END,distorted label(Skip)
304,2023-10-16 20:11:09.057,NCheck for completeness,check for completeness,distorted label(Insert)
307,2023-10-16 22:27:42.560,Check for completness,Check for completness,distorted label(Skip)
311,2023-10-17 04:15:26.152,check for completeness,check for completeness,distorted label(UpLow)
311,2023-10-17 05:02:20.279,Make dcision,Make dcision,distorted label(Skip)
320,2023-10-17 11:06:29.388,request info,request info,distorted label(UpLow)
321,2023-10-17 13:09:57.492,NotQify accept,NotQify accept,distorted label(Insert)
322,2023-10-17 11:56:01.124,New online appliation received,new online application received,distorted label(Skip)
326,2023-10-17 15:57:41.980,Check fo rcompleteness,Check fo rcompleteness,distorted label(Interchange)
350,2023-10-18 16:14:38.255,Check for completness,Check for completness,distorted label(Skip)
352,2023-10-18 18:02:09.986,New online application receivDed,new online application received,distorted label(Insert)
36,2023-10-02 13:46:59.078,check for completeness,check for completeness,distorted label(UpLow)
361,2023-10-19 04:51:57.810,Perform cphecks,Perform cphecks,distorted label(Insert)
362,2023-10-19 07:16:17.090,make decision,Make decisio,distorted label(UpLow)
396,2023-10-20 17:49:28.510,Delived card,Delived card,distorted label(Proximity)
404,2023-10-23 07:10:16.784,RequeKst info,RequeKst info,distorted label(Insert)
404,2023-10-23 07:30:49.585,Check for coCmpleteness,Check for coCmpleteness,distorted label(Insert)
410,2023-10-23 14:09:11.391,Make decisoon,Make decisoon,distorted label(Proximity)
417,2023-10-23 23:07:09.397,info rexeived,info rexeived,distorted label(Proximity)
417,2023-10-23 23:40:25.111,Delivebr card,Delivebr card,distorted label(Insert)
421,2023-10-24 01:27:30.913,Info received,Info received,distorted label(UpLow)
421,2023-10-24 01:43:41.309,info rceeived,info rceeived,distorted label(Interchange)
422,2023-10-24 03:09:51.574,notfy reject,notfy reject,distorted label(Skip)
432,2023-10-24 14:56:42.249,info rsceived,info rsceived,distorted label(Proximity)
445,2023-10-25 09:07:51.071,Requestinfo,Requestinfo,distorted label(Skip)
450,2023-10-25 08:48:05.854,check for completeness,check for completeness,distorted label(UpLow)
451,2023-10-25 09:50:34.216,Make decisiog,Make decisio,distorted label(Proximity)
451,2023-10-25 10:08:12.275,Check for compleyeness,Check for compleyeness,distorted label(Proximity)
452,2023-10-25 11:45:34.119,New onlineapplication received,new online application received,distorted label(Skip)
453,2023-10-25 14:18:57.968,Check for compelteness,Check for compelteness,distorted label(Interchange)
458,2023-10-25 16:28:40.414,Requet info,Requet info,distorted label(Skip)
458,2023-10-25 16:39:16.997,Check for compelteness,Check for compelteness,distorted label(Interchange)
460,2023-10-25 19:27:14.514,Check fo rcompleteness,Check fo rcompleteness,distorted label(Interchange)
460,2023-10-25 19:52:42.564,inf oreceived,inf oreceived,distorted label(Interchange)
460,2023-10-25 21:17:55.389,Perf;rm checks,Perf;rm checks,distorted label(Proximity)
466,2023-10-26 01:40:14.939,Time out,Time out,distorted label(UpLow)
469,2023-10-26 03:17:57.015,Notify reject,botify reject,distorted label(UpLow)
47,2023-10-02 21:25:04.834,request info,request info,distorted label(UpLow)
475,2023-10-26 09:00:38.316,Deliverp card,Deliverp card,distorted label(Insert)
481,2023-10-26 17:31:00.308,Review request received,rview request received,distorted label(UpLow)
481,2023-10-26 17:44:51.499,RequestK info,RequestK info,distorted label(Insert)
484,2023-10-26 19:01:31.790,Info received,Info received,distorted label(UpLow)
486,2023-10-26 22:12:02.224,Check for completfness,Check for completfness,distorted label(Proximity)
49,2023-10-02 22:39:55.747,check for completeness,check for completeness,distorted label(UpLow)
49,2023-10-02 22:39:55.747,New online appilcation received,New online appilcation received,distorted label(Interchange)
49,2023-10-02 23:28:06.868,Rewuest info,Rewuest info,distorted label(Proximity)
501,2023-10-27 09:51:23.872,New online paplication received,new online application received,distorted label(Interchange)
501,2023-10-27 10:08:46.147,timeo ut,timeo ut,distorted label(Interchange)
509,2023-10-28 00:22:12.777,Check foe completeness,Check foe completeness,distorted label(Proximity)
509,2023-10-28 00:30:57.526,Perfoyrm checks,Perfoyrm checks,distorted label(Insert)
511,2023-10-30 02:21:49.450,Review request received,rview request received,distorted label(UpLow)
511,2023-10-30 02:26:48.898,Perfor checks,Perfor checks,distorted label(Skip)
512,2023-10-30 03:40:05.127,info receifed,info receifed,distorted label(Proximity)
512,2023-10-30 04:17:26.874,Notify accdpt,Notify accdpt,distorted label(Proximity)
513,2023-10-30 05:48:37.996,Check for completLeness,Check for completLeness,distorted label(Insert)
520,2023-10-30 10:39:53.642,notify accept,notify accept,distorted label(UpLow)
536,2023-10-31 03:38:46.379,Make decisin,Make decisio,distorted label(Skip)
540,2023-10-31 08:33:51.736,Check for cimpleteness,Check for cimpleteness,distorted label(Proximity)
543,2023-10-31 12:09:47.522,Check fro completeness,Check fro completeness,distorted label(Interchange)
549,2023-10-31 18:32:18.390,request info,request info,distorted label(UpLow)
551,2023-10-31 20:38:31.737,Time out,Time out,distorted label(UpLow)
57,2023-10-03 03:22:35.316,PTerform checks,PTerform checks,distorted label(Insert)
590,2023-11-02 07:37:00.664,Check for cmpleteness,Check for coCmpleteness,distorted label(Skip)
590,2023-11-02 08:39:33.852,Reqjest info,Reqjest info,distorted label(Proximity)
604,2023-11-02 20:08:53.695,eRquest info,eRquest info,distorted label(Interchange)
610,2023-11-03 01:44:24.330,Make dceision,Make dceision,distorted label(Interchange)
613,2023-11-03 06:20:13.339,eVENT 13 END,eVENT 13 END,distorted label(UpLow)
622,2023-11-03 21:36:01.410,Check forcompleteness,Check forcompleteness,distorted label(Skip)
629,2023-11-06 04:25:49.572,Request lnfo,Request lnfo,distorted label(Proximity)
63,2023-10-03 09:58:12.870,Make deciBsion,Make deciBsion,distorted label(Insert)
631,2023-11-06 05:24:04.372,review requst received,review requst received,distorted label(Skip)
631,2023-11-06 05:55:44.108,Make decsiion,Make decsiion,distorted label(Interchange)
635,2023-11-06 06:23:30.223,Perform chfcks,Perform chfcks,distorted label(Proximity)
635,2023-11-06 07:30:07.348,notify accept,notify accept,distorted label(UpLow)
64,2023-10-03 11:56:10.111,time ouf,Time out,distorted label(Proximity)
641,2023-11-06 14:53:56.487,perform checks,perform checks,distorted label(UpLow)
648,2023-11-07 05:46:23.653,Info received,Info received,distorted label(UpLow)
649,2023-11-07 07:04:20.186,Request nifo,Request nifo,distorted label(Interchange)
671,2023-11-07 22:49:54.169,Mwke decision,Mwke decision,distorted label(Proximity)
676,2023-11-08 04:02:53.816,request info,request info,distorted label(UpLow)
676,2023-11-08 05:50:39.361,Notify accpt,Notify accpt,distorted label(Skip)
679,2023-11-08 08:28:29.633,notify rejest,notify rejest,distorted label(Proximity)
690,2023-11-09 01:45:07.214,reBview request received,rview request received,distorted label(Insert)
699,2023-11-09 07:36:51.475,Make decisiob,Make decisio,distorted label(Proximity)
7,2023-09-29 13:24:12.521,new online application received,new online application received,distorted label(UpLow)
700,2023-11-09 10:33:25.802,Check for compleBteness,Check for compleBteness,distorted label(Insert)
700,2023-11-09 10:41:50.752,Request inifo,Request inifo,distorted label(Insert)
700,2023-11-09 12:14:50.871,Check for completUeness,Check for completUeness,distorted label(Insert)
701,2023-11-09 12:24:16.443,Check gor completeness,Check gor completeness,distorted label(Proximity)
727,2023-11-10 19:58:04.158,EVENT 31 END,EVENT 31 END,distorted label(Interchange)
736,2023-11-13 02:00:24.505,EVETN 13 END,EVETN 13 END,distorted label(Interchange)
744,2023-11-13 07:43:35.438,perform checks,perform checks,distorted label(UpLow)
750,2023-11-13 13:40:38.008,notify accept,notify accept,distorted label(UpLow)
757,2023-11-13 22:45:17.266,Check for completneess,Check for completness,distorted label(Interchange)
757,2023-11-13 23:04:21.565,EVENT 3 END,EVENT 3 END,distorted label(Skip)
766,2023-11-14 06:32:43.935,check for completeness,check for completeness,distorted label(UpLow)
766,2023-11-14 06:45:28.126,check for completeness,check for completeness,distorted label(UpLow)
767,2023-11-14 09:19:05.888,perform checks,perform checks,distorted label(UpLow)
771,2023-11-14 13:55:53.389,perform checks,perform checks,distorted label(UpLow)
775,2023-11-14 19:02:03.049,Oerform checks,perform checks,distorted label(Proximity)
787,2023-11-15 07:04:34.616,Makedecision,Makedecision,distorted label(Skip)
787,2023-11-15 07:09:19.765,notify reyject,notify reyject,distorted label(Insert)
787,2023-11-15 10:27:05.271,review rnequest received,rview request received,distorted label(Insert)
787,2023-11-15 10:27:15.271,Check for complteness,Check for complteness,distorted label(Skip)
789,2023-11-15 09:37:18.491,perform checks,perform checks,distorted label(UpLow)
796,2023-11-15 20:31:04.951,perform checks,perform checks,distorted label(UpLow)
796,2023-11-15 20:33:57.728,Notify cacept,Notify cacept,distorted label(Interchange)
797,2023-11-15 22:28:30.853,reveiw request received,reveiw request received,distorted label(Interchange)
797,2023-11-15 22:51:51.514,Info received,Info received,distorted label(UpLow)
8,2023-09-29 14:19:47.442,Review request received,rview request received,distorted label(UpLow)
800,2023-11-15 22:41:12.620,perform checks,perform checks,distorted label(UpLow)
801,2023-11-15 22:36:50.297,EfVENT 13 END,eVENT 13 END,distorted label(Insert)
805,2023-11-16 01:53:04.122,eNw online application received,new online application received,distorted label(Interchange)
805,2023-11-16 03:03:39.162,Chec for completeness,Chec for completeness,distorted label(Skip)
809,2023-11-16 05:33:13.164,Nake decision,Make decisio,distorted label(Proximity)
812,2023-11-16 06:31:00.532,check for completeness,check for completeness,distorted label(UpLow)
812,2023-11-16 06:52:54.215,eVENT 13 END,eVENT 13 END,distorted label(UpLow)
821,2023-11-16 10:51:25.745,New onlinex application received,new online application received,distorted label(Insert)
825,2023-11-16 13:53:35.218,request info,request info,distorted label(UpLow)
828,2023-11-16 15:57:38.224,time ouBt,time ouBt,distorted label(Insert)
840,2023-11-17 05:46:49.840,EVENT 13 WND,EVENT 13 WND,distorted label(Proximity)
842,2023-11-17 09:21:53.743,New online appilcation received,New online appilcation received,distorted label(Interchange)
843,2023-11-17 13:35:48.502,Make desision,Make desision,distorted label(Proximity)
850,2023-11-18 00:09:32.073,EVENT 13END,EVENT 13END,distorted label(Skip)
851,2023-11-17 23:07:05.756,check for completeness,check for completeness,distorted label(UpLow)
851,2023-11-17 23:17:08.805,eRquest info,eRquest info,distorted label(Interchange)
851,2023-11-17 23:19:15.732,info deceived,info deceived,distorted label(Proximity)
851,2023-11-17 23:30:45.017,Make dcision,Make dcision,distorted label(Skip)
859,2023-11-20 06:59:05.592,CVheck for completeness,check for completeness,distorted label(Insert)
859,2023-11-20 07:32:44.287,inf received,inf received,distorted label(Skip)
86,2023-10-04 05:48:19.071,New online aplication received,new online application received,distorted label(Skip)
86,2023-10-04 06:32:40.370,Notify acdcept,Notify acdcept,distorted label(Insert)
86,2023-10-04 07:18:55.008,EVEiNT 13 END,EVEiNT 13 END,distorted label(Insert)
867,2023-11-20 10:08:29.470,ChOeck for completeness,ChOeck for completeness,distorted label(Insert)
879,2023-11-21 02:48:29.788,Perfom checks,Perfom checks,distorted label(Skip)
88,2023-10-04 06:38:35.875,Perform checs,perform checks,distorted label(Skip)
88,2023-10-04 07:59:07.017,Request inf,request info,distorted label(Skip)
887,2023-11-21 08:09:05.392,check for completeness,check for completeness,distorted label(UpLow)
890,2023-11-21 11:19:50.066,Make Jdecision,Make Jdecision,distorted label(Insert)
892,2023-11-21 17:48:58.564,Perform chcks,Perform chcks,distorted label(Skip)
892,2023-11-21 17:56:26.273,Makr decision,Makr decision,distorted label(Proximity)
892,2023-11-21 18:08:01.995,EVNT 13 END,EEVNT 13 END,distorted label(Skip)
90,2023-10-04 07:03:13.735,info recieved,info recieved,distorted label(Interchange)
900,2023-11-22 03:57:35.571,Check for complreteness,Check for complreteness,distorted label(Insert)
906,2023-11-22 13:23:59.427,Notify reject,botify reject,distorted label(UpLow)
914,2023-11-22 21:01:34.340,tim eout,tim eout,distorted label(Interchange)
923,2023-11-23 07:05:05.645,info receivd,info receivd,distorted label(Skip)
924,2023-11-23 07:42:58.122,Perform vhecks,Perform vhecks,distorted label(Proximity)
926,2023-11-23 08:41:29.123,Noify accept,Noify accept,distorted label(Skip)
928,2023-11-23 11:17:24.968,request info,request info,distorted label(UpLow)
928,2023-11-23 11:59:38.132,inf received,inf received,distorted label(Skip)
930,2023-11-23 14:15:34.566,info receivd,info receivd,distorted label(Skip)
930,2023-11-23 15:00:40.996,Deliver carr,deliver card,distorted label(Proximity)
933,2023-11-23 16:45:38.254,Check fo completeness,Check fo completeness,distorted label(Skip)
933,2023-11-23 17:24:00.938,Make dcision,Make dcision,distorted label(Skip)
934,2023-11-23 18:40:48.477,review request geceived,review request geceived,distorted label(Proximity)
934,2023-11-23 19:41:54.464,Check forc ompleteness,Check forc ompleteness,distorted label(Interchange)
941,2023-11-24 02:25:16.638,Info received,Info received,distorted label(UpLow)
946,2023-11-24 08:05:19.744,EVEN T13 END,EVEN T13 END,distorted label(Interchange)
948,2023-11-24 11:04:58.303,Notify reject,botify reject,distorted label(UpLow)
948,2023-11-24 11:15:35.598,timqe out,timqe out,distorted label(Insert)
949,2023-11-24 12:15:43.279,notify eject,notify eject,distorted label(Skip)
962,2023-11-24 20:51:09.204,Check for completelness,Check for completelness,distorted label(Insert)
970,2023-11-27 04:54:35.483,EVENT 13 QEND,EVENT 13 QEND,distorted label(Insert)
976,2023-11-27 07:47:02.879,Request nifo,Request nifo,distorted label(Interchange)
981,2023-11-27 10:55:01.121,Make defision,Make defision,distorted label(Proximity)
982,2023-11-27 11:01:52.025,Info received,Info received,distorted label(UpLow)
982,2023-11-27 11:20:19.656,PerfWorm checks,PerfWorm checks,distorted label(Insert)
983,2023-11-27 14:54:46.193,Check for comlpeteness,Check for comlpeteness,distorted label(Interchange)
984,2023-11-27 16:07:32.823,NotiFfy accept,NotiFfy accept,distorted label(Insert)
989,2023-11-27 18:47:59.790,Info received,Info received,distorted label(UpLow)
989,2023-11-27 18:57:56.078,Request ingo,Request ingo,distorted label(Proximity)
